Health Facility Code,Health Facility Code Short,Facility Name,Old Health Facility Name 1,Old Health Facility Name 2,Old Health Facility Name 3,Facility Major Type,Health Facility Type,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Ownership Sub-Classification for private facilities,Street Name and #,Building name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Landline Number,Landline Number 2,Fax Number,Email Address,Alternate Email Address,Official Website,Service Capability,Bed Capacity,Licensing Status,License Validity Date,Latitude,Longitude,Geocoding Status
DOH000000000000022,22,SAUYO HEALTH CENTER, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,GREENVILLE SUBDIVISION, ,NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",1374000000,QUEZON CITY,1381300000,SAUYO,1381300111, ,+63 024532625, , ,sauyohealthcenter@yahoo.com.ph, , ,,0, ,,14.6878039,121.0377161,Geocoded
DOH000000000000025,25,MADDELA RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION II (CAGAYAN VALLEY),200000000,QUIRINO,205700000,MADDELA,205704000,POBLACION NORTE,205704017,3404, , , , , , ,,0, ,,16.3407233,121.6848038,Geocoded
DOH000000000000026,26,KIBLAWAN RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION XI (DAVAO REGION),1100000000,DAVAO DEL SUR,1102400000,KIBLAWAN,1102406000,POBLACION,1102406023,8008, , , , , , ,,0, ,,,,Error
DOH000000000000027,27,TAMBULIG RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,P3, ,REGION IX (ZAMBOANGA PENINSULA),900000000,ZAMBOANGA DEL SUR,907300000,TAMBULIG,907328000,CALOLOT,907328008,7025, , , ,janetandaleonhernando@yahoo.com, , ,,10, ,,,,Error
DOH000000000000028,28,RAMON MAGSAYSAY RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION IX (ZAMBOANGA PENINSULA),900000000,ZAMBOANGA DEL SUR,907300000,RAMON MAGSAYSAY,907323000,POBLACION,907323020,7024, , , , , , ,,0, ,,7.817978,123.3623474,Geocoded
DOH000000000000029,29,TINGLAYAN RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,,,CORDILLERA ADMINISTRATIVE REGION (CAR),1400000000,KALINGA,1403200000,TINGLAYAN,1403215000,LOCCONG,1403215011,3804,,,,,,,,0,<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>,,,,Error
DOH000000000000030,30,SANTA RITA RURAL HEALTH CENTER,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,SANTA RITA ROAD,,REGION III (CENTRAL LUZON),300000000,ZAMBALES,331400000,CITY OF OLONGAPO,331400000,SANTA RITA,331400018,2200,,,,ochdept@yahoo.com,olongapochd@gmail.com,,,0, ,,14.97009245,120.6860066,Geocoded
DOH000000000000031,31,GUAGUA RURAL HEALTH UNIT I, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,"IMMACON STREET, PUROK 1",PATERNO P. MAGCALAS BUILDING,REGION III (CENTRAL LUZON),300000000,PAMPANGA,305400000,GUAGUA,305407000,SANTO NI?O (POB.),305407033,2003,+63 454580560, , , , , ,,0, ,,14.96487425,120.6334596,Geocoded
DOH000000000000032,32,LINAPACAN MUNICIPAL HEALTH OFFICE,LINAPACAN RURAL HEALTH UNIT, , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,MIMAROPA REGION,1700000000,PALAWAN,1705300000,LINAPACAN,1705313000,SAN MIGUEL (POB.),1705313010,5314, , , , , , ,,0, ,,,,Error
DOH000000000000035,35,LUPON RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,MUNICIPAL AVENUE, ,REGION XI (DAVAO REGION),1100000000,DAVAO ORIENTAL,1102500000,LUPON,1102507000,POBLACION,1102507028,8207,+63 878080393, , , , , ,,0, ,,,,Error
DOH000000000000036,36,BANAYBANAY RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION XI (DAVAO REGION),1100000000,DAVAO ORIENTAL,1102500000,BANAYBANAY,1102502000,POBLACION,1102502012,8208, , , , , , ,,0, ,,,,Error
DOH000000000000037,37,SANTO TOMAS MUNICIPAL HEALTH CENTER,SANTO TOMAS RURAL HEALTH UNIT, , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,FD ROAD 3 NATIONAL HI-WAY, ,REGION XI (DAVAO REGION),1100000000,DAVAO DEL NORTE,1102300000,SANTO TOMAS,1102318000,TIBAL-OG (POB.),1102318011,8112,+63 848290315, , , , , ,,0, ,,,,Error
DOH000000000000038,38,LAKE SEBU RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,ROSAS STREET, ,REGION XII (SOCCSKSARGEN),1200000000,SOUTH COTABATO,1206300000,LAKE SEBU,1206319000,POBLACION,1206319014,9512, , , , , , ,,0,<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>,,6.2286375,124.7193005,Geocoded
DOH000000000000039,39,LABASON RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION IX (ZAMBOANGA PENINSULA),900000000,ZAMBOANGA DEL NORTE,907200000,LABASON,907205000,IMELDA,907205037,7117, , , , , , ,,0, ,,,,Error
DOH000000000000040,40,MIAG-AO RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,MUEDA STREET,,REGION VI (WESTERN VISAYAS),600000000,ILOILO,603000000,MIAGAO,603030000,BAYBAY SUR (POB.),603030016,5023,+63 333152215,,,,,,,0, ,,,,Error
DOH000000000000041,41,TANGALAN RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,SAN JUAN STREET,,REGION VI (WESTERN VISAYAS),60000000,AKLAN,60040000,TANGALAN,60041700,POBLACION,600417009,5612,+63 362722032,,+63 362722032,rhutangalan@yahoo.com,,,,0,<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>,,,,Error
DOH000000000000042,42,GODOD RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION IX (ZAMBOANGA PENINSULA),900000000,ZAMBOANGA DEL NORTE,907200000,GODOD,907225000,POBLACION,907225011,7114, , , , , , ,,0, ,,,,Error
DOH000000000000043,43,BALIGUIAN RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION IX (ZAMBOANGA PENINSULA),900000000,ZAMBOANGA DEL NORTE,907200000,BALIGUIAN,907224000,POBLACION,907224014,7123, , , , , , ,,0, ,,,,Error
DOH000000000000044,44,TUPI RURAL HEALTH UNIT,TUPI MUNICIPAL HEALTH OFFICE, , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,"GENSAN DRIVE, NATIONAL HIGHWAY", ,REGION XII (SOCCSKSARGEN),1200000000,SOUTH COTABATO,1206300000,TUPI,1206317000,POBLACION,1206317013,9505,+63 832262827, , ,mesu_tupi@yahoo.com, , ,,0,<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>,,,,Error
DOH000000000000045,45,CANTILAN MUNICIPAL HEALTH OFFICE AND FAMILY PLANNING CENTER,CANTILAN RURAL HEALTH UNIT AND FAMILY PLANNING CENTER,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,"URBIZTONDO STREET, PUROK 5",,REGION XIII (CARAGA),1600000000,SURIGAO DEL SUR,1606800000,CANTILAN,1606805000,MAGOSILOM (POB.),1606805011,8317,+63 862125221,,,CANTILAN_MHO@YAHOO.COM,,,,0, ,,,,Error
DOH000000000000046,46,TUBLAY RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,,,CORDILLERA ADMINISTRATIVE REGION (CAR),1400000000,BENGUET,1401100000,TUBLAY,1401114000,CAPONGA (POB.),1401114006,2615,(074) 4242665,,,MARCELATINOYAN@YAHOO.COM,,,,0,<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>,,16.4746498,120.633021,Geocoded
DOH000000000000047,47,TUAO RURAL HEALTH UNIT II, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,ZONE 1, ,REGION II (CAGAYAN VALLEY),20000000,CAGAYAN,20150000,TUAO,20152800,NARUANGAN,201528023,3528, , , ,rhutuao2@gmail.com, , ,,0,<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>,12/31/24,,,Error
DOH000000000000048,48,CABUCGAYAN MUNICIPAL HEALTH OFFICE,CABUCGAYAN RURAL HEALTH UNIT, , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION VIII (EASTERN VISAYAS),800000000,BILIRAN,807800000,CABUCGAYAN,807803000,MAGBANGON (POB.),807803011,6550, , , , , , ,,0, ,,,,Error
DOH000000000000049,49,PURA RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,CALMA ST.,RHU 1,REGION III (CENTRAL LUZON),300000000,TARLAC,306900000,PURA,306911000,POBLACION 2,306911013,2312,+63 459300495,,+63 459300495,RHUPURA@gmail.com,antonetteayson@gmail.com,,,0, ,,,,Error
DOH000000000000050,50,PAKIL RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,GONZALES STREET, ,REGION IV-A (CALABARZON),400000000,LAGUNA,403400000,PAKIL,403420000,GONZALES (POB.),403420007,4017,+63 495572233, , ,rhupakil_laguna@yahoo.com.ph, , ,,0, ,,,,Error
DOH000000000000051,51,BAROBO MUNICIPAL HEALTH OFFICE,BAROBO RURAL HEALTH UNIT,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,"PUROK 1, TOWNSITE",,REGION XIII (CARAGA),1600000000,SURIGAO DEL SUR,1606800000,BAROBO,1606801000,POBLACION,1606801015,8309,,,,BAROBO_MHO@YAHOO.COM,,,,0, ,,,,Error
DOH000000000000052,52,SIMUNUL RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,National Government,,,,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,TAWI-TAWI,1907000000,SIMUNUL,1907004000,TUBIG INDANGAN,1907004006,7505,,,,RHUSIMUNUL@GMAIL.COM,,,,0, ,,,,Error
DOH000000000000053,53,JAVIER RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,,,REGION VIII (EASTERN VISAYAS),800000000,LEYTE,803700000,JAVIER,803724000,POBLACION ZONE 2,803724023,6511,,,,ANN.UPMED@GMAIL.COM,,,,0,<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>,,,,Error
DOH000000000000054,54,MONKAYO RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,1 MATILLOSA STREET, ,REGION XI (DAVAO REGION),1100000000,DAVAO DE ORO,1108200000,MONKAYO,1108207000,POBLACION,1108207013,8805, , , , , , ,,0, ,,,,Error
DOH000000000000055,55,BATAN RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION VI (WESTERN VISAYAS),600000000,AKLAN,600400000,BATAN,600404000,POBLACION,600404018,5615,+63 362723427, , , , , ,,0,<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>,,14.66817005,120.5530136,Geocoded
DOH000000000000056,56,SAN AGUSTIN RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION II (CAGAYAN VALLEY),20000000,ISABELA,20310000,SAN AGUSTIN,20312700,MASAYA CENTRO (POB.),203127008,3314, , , , , , ,,0,<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>,,14.1777592,120.7406693,Geocoded
DOH000000000000057,57,GENERAL SALIPADA K. PENDATUN RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,National Government,, , ,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,MAGUINDANAO DEL SUR,1908800000,GEN. S.K. PENDATUN,1908811000,BADAK,1908811001,9618, , , , , , ,,0, ,,,,Error
DOH000000000000058,58,LANUZA RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,ZONE 2,,REGION XIII (CARAGA),1600000000,SURIGAO DEL SUR,1606800000,LANUZA,1606810000,ZONE II (POB.),1606810018,8314,+63 862128207,,,rhulanuza@gmail.com,,,,0, ,,,,Error
DOH000000000000061,61,SAN MIGUEL RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,ROXAS STREET,,REGION VI (WESTERN VISAYAS),60000000,ILOILO,60300000,SAN MIGUEL,60304100,BGY. 1 POB.,603041001,5025,+63 333310768,,,,,,,0,<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>,,10.78154435,122.4646902,Geocoded
DOH000000000000062,62,GUINDULMAN RURAL HEALTH UNIT ANAKANAN CENTER,GUINDULMAN RURAL HEALTH UNIT,GUINDULMAN RURAL HEALTH UNIT AND BIRTHING FACILITY,,Health Facility,Rural Health Unit,Government,Local Government Unit,,,,REGION VII (CENTRAL VISAYAS),700000000,BOHOL,701200000,GUINDULMAN,701223000,SAWANG (POB.),701223018,6310,+63 385100614,,,rhuguindulman01@gmail.com,,,,0, ,,,,Error
DOH000000000000063,63,DUMALINAO RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION IX (ZAMBOANGA PENINSULA),900000000,ZAMBOANGA DEL SUR,907300000,DUMALINAO,907307000,PAGLAUM (POB.),907307041,7015, , , ,rhudumalinao@yahoo.com, , ,,0, ,,7.817978,123.3623474,Geocoded
DOH000000000000064,64,SINDANGAN RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,,,REGION IX (ZAMBOANGA PENINSULA),900000000,ZAMBOANGA DEL NORTE,907200000,SINDANGAN,907218000,LA ROCHE SAN MIGUEL,907218061,7112,+63 652242073,+63 659185283,,mhcsindangan@gmail.com,,,,0, ,,8.2320881,122.9995885,Geocoded
DOH000000000000065,65,VINCENZO SAGUN RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION IX (ZAMBOANGA PENINSULA),900000000,ZAMBOANGA DEL SUR,907300000,VINCENZO A. SAGUN,907341000,KABATAN,907341004,7036,622115561, , , , , ,,0, ,,,,Error
DOH000000000000066,66,GUIPOS RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION IX (ZAMBOANGA PENINSULA),900000000,ZAMBOANGA DEL SUR,907300000,GUIPOS,907343000,POBLACION,907343009,7042, , , , , , ,,0, ,,,,Error
DOH000000000000067,67,MOLAVE RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,CAPISTRANO STREET,,REGION IX (ZAMBOANGA PENINSULA),900000000,ZAMBOANGA DEL SUR,907300000,MOLAVE,907319000,MAKUGUIHON (POB.),907319019,7023,,,,rhumolave@yahoo.com,,,,0, ,,,,Error
DOH000000000000068,68,BATUAN RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION VII (CENTRAL VISAYAS),700000000,BOHOL,701200000,BATUAN,701207000,POBLACION SUR,701207009,6318,+63 385339101, ,+63 385339000, , , ,,0, ,,10.94247195,122.6375484,Geocoded
DOH000000000000069,69,PANDAN RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,Mayor M Dionela Street,,REGION VI (WESTERN VISAYAS),600000000,ANTIQUE,600600000,PANDAN,600611000,CENTRO NORTE (POB.),600611026,5712,+63 362789222,,+63 362789128,rhu_pandan@yahoo.com,ndp.pandan@gmail.com,,,0, ,,15.1438279,120.5943134,Geocoded
DOH000000000000070,70,MATANAO RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION XI (DAVAO REGION),1100000000,DAVAO DEL SUR,1102400000,MATANAO,1102410000,POBLACION,1102410026,8003, , , , , , ,,0, ,,,,Error
DOH000000000000072,72,TRINIDAD RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION VII (CENTRAL VISAYAS),700000000,BOHOL,701200000,TRINIDAD,701244000,POBLACION,701244015,6324, , , ,mhotrinidad@yahoo.com, , ,,0, ,,11.20748555,124.846315,Geocoded
DOH000000000000073,73,JAGNA RURAL HEALTH UNIT I,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,,,REGION VII (CENTRAL VISAYAS),700000000,BOHOL,701200000,JAGNA,701225000,POBLACION,701225030,6308,+63 322382327,,+63 322382327,jagnarhu1@yahoo.com,,,,0, ,,,,Error
DOH000000000000074,74,SAN MIGUEL MUNICIPAL HEALTH OFFICE,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,,,REGION VII (CENTRAL VISAYAS),700000000,BOHOL,701200000,SAN MIGUEL,701238000,POBLACION,701238014,6323,,,,ccorevillo@gmail.com,,,,0, ,,18.1732284,120.5945325,Geocoded
DOH000000000000075,75,PANGIL RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,San Jose St.,,REGION IV-A (CALABARZON),400000000,LAGUNA,403400000,PANGIL,403421000,SAN JOSE (POB.),403421007,4018,049 557 0282,,049 557 0282,pangilrhu@yahoo.com,rhupangil@gmail.com,,,0, ,,,,Error
DOH000000000000076,76,POBLACION BISLIG HEALTH CENTER,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,MONTERO STREET,,REGION XIII (CARAGA),1600000000,SURIGAO DEL SUR,1606800000,CITY OF BISLIG,1606803000,POBLACION,1606803012,8311,+63 868534393,,,,,,,0, ,,8.2181468,126.3163054,Geocoded
DOH000000000000077,77,EL NIDO RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,,,MIMAROPA REGION,1700000000,PALAWAN,1705300000,EL NIDO,1705312000,MALIGAYA POB.,1705312011,5313,,,,mhoelnido@yahoo.com,,,,0, ,,,,Error
DOH000000000000078,78,TRENTO RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,,,REGION XIII (CARAGA),1600000000,AGUSAN DEL SUR,1600300000,TRENTO,1600312000,POBLACION,1600312006,8505,+63 852552480,,+63 852552415,,,,,0, ,,,,Error
DOH000000000000079,79,SAN FRANCISCO RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION XIII (CARAGA),1600000000,AGUSAN DEL SUR,1600300000,SAN FRANCISCO,1600308000,BARANGAY 4 (POB.),1600308018,8501,+63 853631444, ,+63 858391240, , , ,,0, ,,10.0563212,125.1579248,Geocoded
DOH000000000000080,80,ATOK RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,KILOMETER 34,,CORDILLERA ADMINISTRATIVE REGION (CAR),140000000,BENGUET,140110000,ATOK,140110100,CALIKING,1401101002,2612,,,,,,,,0,<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>,12/31/24,,,Error
DOH000000000000082,82,CALINAN DISTRICT HEALTH OFFICE,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,"PUROK 17, CALINAN DISTRICT",,REGION XI (DAVAO REGION),1100000000,DAVAO DEL SUR,1130700000,CITY OF DAVAO,1130700000,CALINAN (POB.),1130700026,8000,,,,,,,,0, ,,,,Error
DOH000000000000085,85,AGUINALDO RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,PUROK 1,,CORDILLERA ADMINISTRATIVE REGION (CAR),140000000,IFUGAO,140270000,AGUINALDO,140270800,GALONOGON,1402708006,3606,,,,dulnuan_virginia@yahoo.com,,,,0,<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>,12/31/24,10.1780404,125.5624584,Geocoded
DOH000000000000086,86,BALABAC MUNICIPAL HEALTH OFFICE,bALABAC rURAL hEALTH uNIT, , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,Poblacion 1,Municipal Health Office,MIMAROPA REGION,1700000000,PALAWAN,1705300000,BALABAC,1705304000,POBLACION I,1705304024,5307,,,,dennisponcemd@yahoo.com,, ,,0, ,,,,Error
DOH000000000000087,87,BANSUD RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,MIMAROPA REGION,1700000000,ORIENTAL MINDORO,1705200000,BANSUD,1705202000,POBLACION,1705202008,5210,+63 432987164, ,+63 432987022,mhobansud@yahoo.com, , ,,0, ,,12.86509525,121.4554343,Geocoded
DOH000000000000088,88,BUSUANGA RURAL HEALTH UNIT, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,MIMAROPA REGION,1700000000,PALAWAN,1705300000,BUSUANGA,1705307000,SALVACION,1705307012,5317, , , ,lmprincesa@yahoo.com, , ,,0, ,,12.1321021,119.934473,Geocoded
DOH000000000000089,89,KORONADAL CITY HEALTH OFFICE,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,ALUNAN AVENUE CORNER BONIFACIO STREET,,REGION XII (SOCCSKSARGEN),1200000000,SOUTH COTABATO,1206300000,CITY OF KORONADAL (CAPITAL),1206306000,ZONE II (POB.),1206306017,9506,+63 832282293,,+63 832283627,joy4nsv@yahoo.com,,,,0, ,,6.501105,124.8423269,Geocoded
DOH000000000000090,90,ASUNCION MUNICIPAL HEALTH OFFICE,ASUNCION RURAL HEALTH UNIT, , ,Health Facility,Rural Health Unit,Government,Local Government Unit,,PUROK 4, ,REGION XI (DAVAO REGION),1100000000,DAVAO DEL NORTE,1102300000,ASUNCION,1102301000,CAMBANOGOY (POB.),1102301032,8102,+63 843730219, , ,thompsonuy@yahoo.com,mariviccastillo22@yahoo.com, ,,0, ,,,,Error
DOH000000000000091,91,MAKILALA RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,"PUROK 16, GASATAN STREET",,REGION XII (SOCCSKSARGEN),1200000000,COTABATO,1204700000,MAKILALA,1204707000,POBLACION,1204707029,9401,+63 642682134,,,makilalarhu@yahoo.com.ph,rhumakilala@yahoo.com,,,0,<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>,,,,Error
DOH000000000000092,92,CANDABA RURAL HEALTH UNIT I, , , ,Health Facility,Rural Health Unit,Government,Local Government Unit,, , ,REGION III (CENTRAL LUZON),300000000,PAMPANGA,305400000,CANDABA,305405000,PARALAYA (POB.),305405023,2013, , , , , , ,,0, ,,15.09330695,120.828155,Geocoded
DOH000000000000094,94,HILONGOS RURAL HEALTH UNIT I,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,R. VILLAFLORES,,REGION VIII (EASTERN VISAYAS),800000000,LEYTE,803700000,HILONGOS,803719000,WESTERN BARANGAY (POB.),803719030,6524,053 5679716,,,manitgabisan@yahoo.com,,,,0, ,,10.3715692,124.7483268,Geocoded
DOH000000000000095,95,QUEZON RURAL HEALTH UNIT,,,,Health Facility,Rural Health Unit,Government,Local Government Unit,,PUROK 1,,REGION II (CAGAYAN VALLEY),20000000,ISABELA,20310000,QUEZON,20312200,ARELLANO (POB.),203122003,3324,,,,rhuquezon2016@gmail.com,,,,0,<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>,12/31/23,13.32477275,122.6762377,Geocoded
