"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Name 1","Old Health Facility Name 2","Old Health Facility Name 3","Facility Major Type","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Service Capability","Bed Capacity","Licensing Status","License Validity Date"
"DOH000000000002626","2626","CAGAYANCILLO RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","PALAWAN","1705300000","CAGAYANCILLO","1705308000","LIPOT NORTH (POB.)","1705308004","5321"," "," "," ","akozolagc@gmail.com"," "," ","","0"," ",""
"DOH000000000004353","4353","CAJIDIOCAN RURAL HEALTH UNIT","CAJIDIOCAN MUNICIPAL HEALTH OFFICE"," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","ROMBLON","1705900000","CAJIDIOCAN","1705903000","POBLACION","1705903012","5512"," "," "," "," "," "," ","","4"," ",""
"DOH000000000042816","42816","CALAPAN CITY HEALTH AND SANITATION DEPARTMENT - MAIN","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","ORIENTAL MINDORO","1705200000","CITY OF CALAPAN (CAPITAL)","1705205000","GUINOBATAN","1705205021","5200","","","","chsd_g@yahoo.com","","","","0"," ",""
"DOH000000000000835","835","CALAPAN CITY HEALTH AND SANITATION DEPARTMENT - NORTH SECTION","CALAPAN CITY HEALTH - NORTH SECTION"," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit","","AURORA BOULEVARD"," ","MIMAROPA REGION","1700000000","ORIENTAL MINDORO","1705200000","CITY OF CALAPAN (CAPITAL)","1705205000","SAN VICENTE WEST (POB.)","1705205054","5200","+63 432885619"," "," ","chsd_n@yahoo.com"," "," ","","0"," ",""
"DOH000000000001503","1503","CALAPAN CITY HEALTH AND SANITATION DEPARTMENT - SOUTH SECTION","CITY HEALTH & SANITATION DEPARTMENT - SOUTH","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","A. BONIFACIO STREET","","MIMAROPA REGION","1700000000","ORIENTAL MINDORO","1705200000","CITY OF CALAPAN (CAPITAL)","1705205000","IBABA EAST (POB.)","1705205025","5200","+63 432884742","","","","","","","0"," ",""
"DOH000000000004855","4855","CALATRAVA RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","ROMBLON","1705900000","CALATRAVA","1705904000","POBLACION","1705904003","5503"," "," "," ","natmd05@yahoo.com"," "," ","","0"," ",""
"DOH000000000005818","5818","CALINTAAN RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","CAPTAIN E. DEL ROSARIO STREET CORNER OBISPO STREET","Calintaan Rural Health Unit","MIMAROPA REGION","1700000000","OCCIDENTAL MINDORO","1705100000","CALINTAAN","1705102000","POBLACION","1705102005","5102","","","","bethfjmd@gmail.com","","","","0"," ",""
"DOH000000000004406","4406","CONCEPCION RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","SITIO TUBOG","","MIMAROPA REGION","1700000000","ROMBLON","1705900000","CONCEPCION","1705905000","POBLACION","1705905006","5516","","","","kaorimendoza@gmail.com","","","","0"," ",""
"DOH000000000003610","3610","CORCUERA RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","STREET J. FAJILAGO","","MIMAROPA REGION","1700000000","ROMBLON","1705900000","CORCUERA","1705906000","POBLACION","1705906011","5514","","","","docjaninagaro@gmail.com","","","","0"," ",""
"DOH000000000003541","3541","CORON MUNICIPAL HEALTH OFFICE","CORON RURAL HEALTH UNIT","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","170000000","PALAWAN","170530000","CORON","170530900","BARANGAY II (POB.)","1705309017","5316","","","","alanguintapan@yahoo.com","","","","2","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","01/01/2023"
"DOH000000000023611","23611","CULION RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","PALAWAN","1705300000","CULION","1705322000","BALALA","1705322001","5315"," "," "," ","doctejada@yahoo.com"," "," ","","0"," ",""
"DOH000000000007363","7363","CUYO RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","RIZAL STREET","","MIMAROPA REGION","170000000","PALAWAN","170530000","CUYO","170531000","TENGA-TENGA (POB.)","1705310017","5318","","","","mhocuyo2022@gmail.com","mhocuyo2022@gmail.com","","","0"," ",""
"DOH000000000002453","2453","DONA JUANITA MADRIGAL CHANCO HEALTH CENTER","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","ROMBLON","1705900000","ROMBLON (CAPITAL)","1705910000","BARANGAY III (POB.)","1705910027","5500","","","","rhu_romblon09@yahoo.com","","","","0"," ",""
"DOH000000000007534","7534","DR. FRANCO S. BARRERA MEMORIAL HEALTH CENTER","RURAL HEALTH UNIT OF MAGSAYSAY OCCIDENTAL MINDORO","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","JOSE P. LAUREL STREET","","MIMAROPA REGION","170000000","OCCIDENTAL MINDORO","170510000","MAGSAYSAY","170510500","POBLACION","1705105010","5101","","","","mhomagsaysay_occimin@yahoo.com.ph","","","","1"," ",""
"DOH000000000001659","1659","DR. HONRADO ""DING"" LARA MEMORIAL HEALTH CENTER"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit","","LOPEZ JAENA STREET"," ","MIMAROPA REGION","1700000000","OCCIDENTAL MINDORO","1705100000","SAN JOSE","1705110000","BARANGAY 6 (POB.)","1705110010","5100","+63 439319336"," "," ","rhu.sanjose@yahoo.com"," "," ","","0"," ",""
"DOH000000000003262","3262","DUMARAN MUNICIPAL HEALTH OFFICE","DUMARAN RURAL HEALTH UNIT","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","PUROK 2","","MIMAROPA REGION","170000000","PALAWAN","170530000","DUMARAN","170531100","DUMARAN (POB.)","1705311008","5310","","","","dumaran.rhu@gmail.com","ralfonte@gmail.com","","","0"," ",""
"DOH000000000000077","77","EL NIDO RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","PALAWAN","1705300000","EL NIDO","1705312000","MALIGAYA POB.","1705312011","5313","","","","mhoelnido@yahoo.com","","","","0"," ",""
"DOH000000000003251","3251","FERROL RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","ROMBLON","1705900000","FERROL","1705916000","POBLACION","1705916004","5506","","","","","","","","0"," ",""
"DOH000000000004131","4131","GASAN RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","PLATA STREET","","MIMAROPA REGION","170000000","MARINDUQUE","170400000","GASAN","170400300","BARANGAY I (POB.)","1704003024","4905","+63 423421533","","+63 423421533","gasan.rural.health.unit@gmail.com","","","","0"," ",""
"DOH000000000022923","22923","GLORIA RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","ORIENTAL MINDORO","1705200000","GLORIA","1705206000","MALIGAYA (POB.)","1705206017","5209","+63 432843243"," "," ","gloriarhu@yahoo.com"," "," ","","0"," ",""
"DOH000000000026800","26800","LIGAYA RURAL HEALTH UNIT SOUTH EXTENSION","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","ZONE 1","","MIMAROPA REGION","1700000000","OCCIDENTAL MINDORO","1705100000","SABLAYAN","1705109000","LIGAYA","1705109008","5104","","","","dgariola@gmail.com","","","","0"," ",""
"DOH000000000000032","32","LINAPACAN MUNICIPAL HEALTH OFFICE","LINAPACAN RURAL HEALTH UNIT"," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","PALAWAN","1705300000","LINAPACAN","1705313000","SAN MIGUEL (POB.)","1705313010","5314"," "," "," "," "," "," ","","0"," ",""
"DOH000000000004195","4195","LOOC RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","OCCIDENTAL MINDORO","1705100000","LOOC","1705103000","GUITNA (POB.)","1705103007","5111"," "," "," ","rhu.looc@gmail.com"," "," ","","0"," ",""
"DOH000000000002005","2005","LOOC RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","clemente st","","MIMAROPA REGION","1700000000","ROMBLON","1705900000","LOOC","1705907000","POBLACION","1705907011","5507","","","","loocrhu.romblon@gmail.com","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000001378","1378","LUBANG RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","OCCIDENTAL MINDORO","1705100000","LUBANG","1705104000","ARAW AT BITUIN (POB.)","1705104010","5109","","","","dratap@gmail.com","","","","0"," ",""
"DOH000000000004425","4425","MAGDIWANG RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","ROMBLON","1705900000","MAGDIWANG","1705908000","POBLACION","1705908007","5511","","","","rowenadianco@ymail.com","","","","0"," ",""
"DOH000000000020982","20982","MAGSAYSAY RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","Palawan Provincial Road","","MIMAROPA REGION","170000000","PALAWAN","170530000","MAGSAYSAY","170531400","DANAWAN (POB.)","1705314005","5319","","","","magsaysaypalawanrhu@gmail.com","","","","0"," ",""
"DOH000000000001387","1387","MAMBURAO - MUNICIPAL HEALTH OFFICE","MAMBURAO RURAL HEALTH UNIT","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","MUNICIPAL COMPOUND","","MIMAROPA REGION","170000000","OCCIDENTAL MINDORO","170510000","MAMBURAO (CAPITAL)","170510600","POBLACION 8","1705106015","5106","","","","rhu.lgumamburao@gmail.com","","","","0"," ",""
"DOH000000000003606","3606","MANSALAY RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","170000000","ORIENTAL MINDORO","170520000","MANSALAY","170520700","POBLACION","1705207013","5208","","","","drpacho@yahoo.com","","","","0"," ",""
"DOH000000000003935","3935","MOGPOG RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","PARAS STREET","","MIMAROPA REGION","1700000000","MARINDUQUE","1704000000","MOGPOG","1704004000","GITNANG BAYAN (POB.)","1704004012","4901","(042) 3320761","","","mogpogrhumarinduque@gmail.com","","","","0"," ",""
"DOH000000000007156","7156","MUNICIPAL HEALTH OFFICE OF POLA","POLA RURAL HEALTH UNIT"," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit","","SITIO BAYANAN HIGH"," ","MIMAROPA REGION","170000000","ORIENTAL MINDORO","170520000","POLA","170521000","BAYANAN","1705210005","5206"," "," "," ","rhu_pola@yahoo.com"," "," ","","0","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2025"
"DOH000000000003798","3798","NARRA RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit","","MAGSAYSAY STREET"," ","MIMAROPA REGION","1700000000","PALAWAN","1705300000","NARRA","1705315000","NARRA (POB.)","1705315014","5303"," "," "," ","ginartagyab@yahoo.com","narramho2014@gmail.com"," ","","0"," ",""
"DOH000000000023076","23076","NAUJAN RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","ORIENTAL MINDORO","1705200000","NAUJAN","1705208000","SANTIAGO","1705208062","5204","+63 432083424"," "," ","naujanhealthoffice@yahoo.com"," "," ","","0"," ",""
"DOH000000000000869","869","NAUJAN RURAL HEALTH UNIT WEST"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","ORIENTAL MINDORO","1705200000","NAUJAN","1705208000","BARCENAGA","1705208010","5204"," "," "," ","naujanhealthoffice@yahoo.com"," "," ","","0"," ",""
"DOH000000000003699","3699","ODIONGAN RURAL HEALTH UNIT","RURAL HEALTH UNIT AND FAMILY PLANNING CENTER"," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit","","007 J. P. LAUREL STREET"," ","MIMAROPA REGION","1700000000","ROMBLON","1705900000","ODIONGAN","1705909000","TABING DAGAT (POB.)","1705909026","5505","+63 785676015"," "," ","aidamriaatienza@yahoo.com.ph"," "," ","","0"," ",""
"DOH000000000023419","23419","PABLO N. MARQUEZ MEMORIAL HEALTH AND DIAGNOSTIC CENTER","BOAC RURAL HEALTH UNIT I","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","T. ROQUE STREET","","MIMAROPA REGION","1700000000","MARINDUQUE","1704000000","BOAC (CAPITAL)","1704001000","ISOK I (POB.)","1704001061","4900","+63 427540079","","","mhoboac@yahoo.com","","","","0"," ",""
"DOH000000000001655","1655","PAG-ASA RURAL HEALTH UNIT NORTH EXTENSION","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","ZONE 3","","MIMAROPA REGION","1700000000","OCCIDENTAL MINDORO","1705100000","SABLAYAN","1705109000","PAG-ASA","1705109011","5104","","","","zetragos@gmail.com","","","","0"," ",""
"DOH000000000003345","3345","PALUAN RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit","","NATIONAL ROAD"," ","MIMAROPA REGION","170000000","OCCIDENTAL MINDORO","170510000","PALUAN","170510700","ALIPAOY","1705107001","5107"," "," "," ","rhupaluan@yahoo.com"," "," ","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000005804","5804","PINAMALAYAN RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","ORIENTAL MINDORO","1705200000","PINAMALAYAN","1705209000","ZONE III (POB.)","1705209025","5208","+63 432844163"," "," "," "," "," ","","0"," ",""
"DOH000000000004621","4621","PUERTO GALERA RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","170000000","ORIENTAL MINDORO","170520000","PUERTO GALERA","170521100","POBLACION","1705211012","5203","+63 432873049"," "," "," "," "," ","","0"," ",""
"DOH000000000003938","3938","PUERTO PRINCESA CITY HEALTH OFFICE"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit","","VALENCIA STREET"," ","MIMAROPA REGION","1700000000","PALAWAN","1731500000","CITY OF PUERTO PRINCESA (CAPITAL)","1731500000","MODEL (POB.)","1731500039","5300","+63 484340582"," "," "," "," "," ","","0"," ",""
"DOH000000000006135","6135","QUEZON MUNICIPAL HEALTH OFFICE","QUEZON RURAL HEALTH UNIT","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","RESERVATION STREET","","MIMAROPA REGION","1700000000","PALAWAN","1705300000","QUEZON","1705317000","ALFONSO XIII (POB.)","1705317001","5304","","","","","","","","0"," ",""
"DOH000000000006789","6789","RHU SABLAYAN-MAIN","SABLAYAN RURAL HEALTH UNIT","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","BABIA STREET","RHU SABLAYAN","MIMAROPA REGION","170000000","OCCIDENTAL MINDORO","170510000","SABLAYAN","170510900","BUENAVISTA","1705109002","5104","","","","","","","","0","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2024"
"DOH000000000003436","3436","RIZAL RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","PALAWAN","1705300000","RIZAL","1705323000","PUNTA BAJA","1705323009","5323","048 423 0860"," "," ","rhurizalpal@gmail.com"," "," ","","0"," ",""
"DOH000000000005255","5255","RIZAL RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","PUROK 1","","MIMAROPA REGION","1700000000","OCCIDENTAL MINDORO","1705100000","RIZAL","1705108000","RUMBANG","1705108007","5103","+63 437110155","","","rhu_rizal2010@yahoo.com","agnesmarquez0828@yahoo.com","","","0"," ",""
"DOH000000000007141","7141","ROXAS MUNICIPAL HEALTH OFFICE"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","PALAWAN","1705300000","ROXAS","1705318000","BARANGAY II (POB.)","1705318029","5308"," "," "," "," "," "," ","","0"," ",""
"DOH000000000000101","101","ROXAS RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","ORIENTAL MINDORO","1705200000","ROXAS","1705212000","BAGUMBAYAN (POB.)","1705212001","5212","+63 432883123"," ","+63 434530309","lennydaite@yahoo.com.ph"," "," ","","0"," ",""
"DOH000000000003353","3353","SAN AGUSTIN RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit","","MARQUEZ STREET"," ","MIMAROPA REGION","1700000000","ROMBLON","1705900000","SAN AGUSTIN","1705911000","POBLACION","1705911017","5501"," "," "," ","deomuleta2004@yahoo.com"," "," ","","0"," ",""
"DOH000000000005471","5471","SAN ANDRES RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","GENERAL LIM STREET","","MIMAROPA REGION","1700000000","ROMBLON","1705900000","SAN ANDRES","1705912000","POBLACION","1705912010","5504","","","","ruzelgadon555@gmail.com","edsil1485@yahoo.com","","","0"," ",""
"DOH000000000002087","2087","SAN FERNANDO RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","ROMBLON","1705900000","SAN FERNANDO","1705913000","POBLACION","1705913011","5513"," "," "," ","docnonie_mho@yahoo.com"," "," ","","0"," ",""
"DOH000000000005541","5541","SAN JOSE PUBLIC HEALTH AND DIAGNOSTIC CENTER","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","MANUEL L. QUEZON STREET CORNER HIDALGO STREET","","MIMAROPA REGION","170000000","OCCIDENTAL MINDORO","170510000","SAN JOSE","170511000","BARANGAY 7 (POB.)","1705110011","5100","","","","","","","","0","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000000153","153","SAN JOSE RURAL HEALTH UNIT AND FAMILY PLANNING CENTER"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit","","JOSE ESTIMADO STREET"," ","MIMAROPA REGION","1700000000","ROMBLON","1705900000","SAN JOSE","1705914000","POBLACION","1705914005","5510"," "," "," ","sanjose_RHU@yahoo.com"," "," ","","0"," ",""
"DOH000000000002625","2625","SAN TEODORO RURAL HEALTH UNIT","SAN TEODORO RURAL HEALTH UNIT","SAN TEODORO RURAL HEALTH UNIT AND BASIC EMERGENCY","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","ORIENTAL MINDORO","1705200000","SAN TEODORO","1705213000","CALSAPA","1705213003","5202","","","","rhu_santeodoro@yahoo.com","","","","0"," ",""
"DOH000000000000167","167","SAN VICENTE RURAL HEALTH UNIT"," "," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit",""," "," ","MIMAROPA REGION","1700000000","PALAWAN","1705300000","SAN VICENTE","1705319000","POBLACION","1705319008","5309"," "," "," "," "," "," ","","0"," ",""
"DOH000000000002444","2444","SANTA CRUZ RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","OCCIDENTAL MINDORO","1705100000","SANTA CRUZ","1705111000","POBLACION II","1705111011","5105","","","","sta.cruz_rhu@yahoo.com","","","","0"," ",""
"DOH000000000007471","7471","SANTA CRUZ RURAL HEALTH UNIT I","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","1700000000","MARINDUQUE","1704000000","SANTA CRUZ","1704005000","PAG-ASA POB.","1704005044","4902","(042) 754-4268","","","santacruzrhuone@gmail.com","honesto_marquez@yahoo.com","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000003703","3703","SANTA CRUZ RURAL HEALTH UNIT II","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","MIMAROPA REGION","170000000","MARINDUQUE","170400000","SANTA CRUZ","170400500","NAPO","1704005043","4902","","","","scrhu2@yahoo.com","scrhu2@gmail.com","","","0"," ",""
"DOH000000000004990","4990","SANTA FE RURAL HEALTH UNIT &amp; FAMILY PLANNING CENTER /BEMONC","SANTA FE RURAL HEALTH UNIT AND FAMILY PLANNING CENTER","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","PERFECTO CONDE III STREET","","MIMAROPA REGION","1700000000","ROMBLON","1705900000","SANTA FE","1705915000","POBLACION","1705915010","5508","","","","santaferhu19@gmail.com","cawalingjane@yahoo.com","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
